country,area_code,area_name,population,population_year,adult_population,adult_population_year,burden_adult_population,burden_population_year,hospital_count,hospital_per_100k,primary_care_count,primary_care_per_100k,pharmacy_count,pharmacy_per_100k,pharmacy_sunday_open_pct,pharmacy_median_weekly_hours,hospital_emergency_pct,primary_care_median_weekly_hours,hpsa_designation_count,hpsa_fte_shortage,hpsa_score_median
UK,E12000001,North East,2760678,2024,,,,,61,2.21,389,14.09,553,20.03,16.6,46.25,,,,,
UK,E12000002,North West,7737414,2024,,,,,203,2.62,1366,17.65,1569,20.28,17.3,47.5,,,,,
UK,E12000003,Yorkshire and the Humber,5672962,2024,,,,,131,2.31,801,14.12,1112,19.6,15.2,47.5,,,,,
UK,E12000004,East Midlands,5063164,2024,,,,,120,2.37,699,13.81,864,17.06,15.9,47.5,,,,,
UK,E12000005,West Midlands,6187204,2024,,,,,165,2.67,962,15.55,1166,18.85,17.2,49.0,,,,,
UK,E12000006,East of England,6576306,2024,,,,,143,2.17,908,13.81,1035,15.74,19.6,50.0,,,,,
UK,E12000007,London,9089736,2024,,,,,180,1.98,2269,24.96,1724,18.97,18.0,53.5,,,,,
UK,E12000008,South East,9642942,2024,,,,,229,2.37,1372,14.23,1454,15.08,17.5,49.0,,,,,
UK,E12000009,South West,5889695,2024,,,,,183,3.11,768,13.04,918,15.59,16.9,48.0,,,,,
USA,AK,Alaska,737270,2025,565570,2025,559568,2023,25,3.39,215,29.16,162,21.97,,,96.0,40.0,330.0,51.795899999999996,10.0
USA,AL,Alabama,5193088,2025,4075161,2025,4001214,2023,100,1.93,212,4.08,1648,31.73,,,91.0,40.0,109.0,245.6792,16.0
USA,AR,Arkansas,3114791,2025,2416023,2025,2366561,2023,91,2.92,266,8.54,1008,32.36,,,90.1,40.0,150.0,187.9418,16.0
USA,AZ,Arizona,7623818,2025,6026503,2025,5836953,2023,107,1.4,265,3.48,1468,19.26,,,69.2,45.0,228.0,468.8306,17.0
USA,CA,California,39355309,2025,31180511,2025,30779385,2023,378,0.96,2745,6.97,7818,19.87,,,75.4,40.0,560.0,519.1104,16.0
USA,CO,Colorado,6012561,2025,4792358,2025,4681575,2023,97,1.61,267,4.44,1101,18.31,,,90.7,40.0,120.0,130.7182,16.0
USA,CT,Connecticut,3688496,2025,2970201,2025,2917341,2023,36,0.98,460,12.47,954,25.86,,,75.0,37.5,41.0,102.7552,17.0
USA,DC,District of Columbia,693645,2025,569575,2025,559102,2023,10,1.44,78,11.24,183,26.38,,,70.0,40.0,12.0,95.3644,21.5
USA,DE,Delaware,1059952,2025,849963,2025,824361,2023,13,1.23,13,1.23,254,23.96,,,69.2,44.0,12.0,97.6968,10.0
USA,FL,Florida,23462518,2025,19019796,2025,18486427,2023,221,0.94,729,3.11,6861,29.24,,,83.3,40.0,229.0,482.7085,16.0
