country,area_code,metric_key,year,forecast_value,lower,upper,model_name,observations,training_start_year,training_end_year,slope_per_year,r_squared,backtest_mae,backtest_smape_pct,quality
UK,E12000001,asthma,2025,7.56,7.5,7.63,Recent-window ordinary least squares,5,2020,2024,0.092,0.976,0.05,0.68,Moderate recent linear fit
UK,E12000001,asthma,2026,7.66,7.56,7.75,Recent-window ordinary least squares,5,2020,2024,0.092,0.976,0.05,0.68,Moderate recent linear fit
UK,E12000001,cancer,2025,4.24,4.18,4.31,Recent-window ordinary least squares,6,2019,2024,0.155,0.985,0.049,1.38,Stronger recent linear fit
UK,E12000001,cancer,2026,4.4,4.31,4.49,Recent-window ordinary least squares,6,2019,2024,0.155,0.985,0.049,1.38,Stronger recent linear fit
UK,E12000001,chd,2025,3.73,3.7,3.75,Recent-window ordinary least squares,6,2019,2024,-0.054,0.978,0.021,0.52,Stronger recent linear fit
UK,E12000001,chd,2026,3.67,3.64,3.71,Recent-window ordinary least squares,6,2019,2024,-0.054,0.978,0.021,0.52,Stronger recent linear fit
UK,E12000001,copd,2025,2.81,2.74,2.88,Recent-window ordinary least squares,6,2019,2024,-0.025,0.586,0.055,1.89,Moderate recent linear fit
UK,E12000001,copd,2026,2.78,2.68,2.88,Recent-window ordinary least squares,6,2019,2024,-0.025,0.586,0.055,1.89,Moderate recent linear fit
UK,E12000001,depression,2025,16.9,16.56,17.25,Recent-window ordinary least squares,6,2018,2024,0.673,0.99,0.267,2.03,Stronger recent linear fit
UK,E12000001,depression,2026,17.58,17.09,18.06,Recent-window ordinary least squares,6,2018,2024,0.673,0.99,0.267,2.03,Stronger recent linear fit
UK,E12000001,diabetes,2025,9.06,8.97,9.15,Recent-window ordinary least squares,6,2019,2024,0.252,0.979,0.069,0.86,Stronger recent linear fit
UK,E12000001,diabetes,2026,9.31,9.19,9.44,Recent-window ordinary least squares,6,2019,2024,0.252,0.979,0.069,0.86,Stronger recent linear fit
