country,area_code,area_name,year,health_index,unit,source_name,source_url
UK,E12000001,North East,2015,94.3,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000001,North East,2016,95.1,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000001,North East,2017,94.6,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000001,North East,2018,93.9,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000001,North East,2019,93.8,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000001,North East,2020,93.4,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000001,North East,2021,93.8,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000002,North West,2015,95.8,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000002,North West,2016,96.3,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000002,North West,2017,97.2,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000002,North West,2018,97.1,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000002,North West,2019,97.2,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000002,North West,2020,96.2,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000002,North West,2021,96.4,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
UK,E12000003,Yorkshire and the Humber,2015,96.3,Index (England 2015 = 100; higher is better),Office for National Statistics Health Index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/datasets/healthindexscoresengland
