country,area_code,area_name,macro_region,metric_key,metric_label,year,period,value,lower_ci,upper_ci,unit,population,measure_type,source_id,source_name,source_url
UK,E12000001,North East,England,asthma,Asthma registered prevalence,2020,2020/21,7.08,7.049,7.111,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,asthma,Asthma registered prevalence,2021,2021/22,7.219,7.188,7.25,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,asthma,Asthma registered prevalence,2022,2022/23,7.316,7.285,7.347,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,asthma,Asthma registered prevalence,2023,2023/24,7.378,7.347,7.409,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,asthma,Asthma registered prevalence,2024,2024/25,7.458,7.427,7.489,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2012,2012/13,2.054,2.037,2.071,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2013,2013/14,2.234,2.216,2.251,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2014,2014/15,2.418,2.399,2.436,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2015,2015/16,2.592,2.573,2.611,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2016,2016/17,2.769,2.75,2.788,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2017,2017/18,2.953,2.934,2.973,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2018,2018/19,3.221,3.201,3.242,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2019,2019/20,3.368,3.347,3.389,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2020,2020/21,3.448,3.427,3.469,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2021,2021/22,3.593,3.572,3.615,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2022,2022/23,3.751,3.729,3.773,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2023,2023/24,3.938,3.916,3.961,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2024,2024/25,4.124,4.101,4.147,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2012,2012/13,4.517,4.492,4.542,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2013,2013/14,4.445,4.421,4.47,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2014,2014/15,4.358,4.334,4.383,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2015,2015/16,4.279,4.255,4.303,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2016,2016/17,4.222,4.198,4.246,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2017,2017/18,4.162,4.138,4.185,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2018,2018/19,4.117,4.093,4.14,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2019,2019/20,4.068,4.045,4.091,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2020,2020/21,3.987,3.964,4.01,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2021,2021/22,3.925,3.902,3.948,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2022,2022/23,3.878,3.856,3.9,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2023,2023/24,3.828,3.806,3.851,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2024,2024/25,3.798,3.776,3.82,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2012,2012/13,2.637,2.617,2.656,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2013,2013/14,2.711,2.692,2.73,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
