country,area_code,area_name,macro_region,latitude,longitude,metric_key,metric_label,year,period,value,lower_ci,upper_ci,unit,population,measure_type,source_id,source_name,source_url
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,asthma,Current asthma among adults,2019,2019,10.5,8.9,12.4,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,AST02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,asthma,Current asthma among adults,2020,2020,9.8,8.4,11.5,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,AST02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,asthma,Current asthma among adults,2021,2021,9.9,8.8,11.2,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,AST02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,asthma,Current asthma among adults,2022,2022,10.7,9.6,11.9,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,AST02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,asthma,Current asthma among adults,2023,2023,10.9,9.7,12.1,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,AST02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,copd,COPD among adults,2019,2019,4.6,3.7,5.6,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,COPD01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,copd,COPD among adults,2020,2020,4.6,3.8,5.5,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,COPD01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,copd,COPD among adults,2021,2021,5.5,4.7,6.3,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,COPD01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,copd,COPD among adults,2022,2022,5.4,4.7,6.2,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,COPD01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,copd,COPD among adults,2023,2023,5.6,4.8,6.5,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,COPD01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,depression,Depression among adults,2019,2019,17.2,15.2,19.5,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,MEN02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,depression,Depression among adults,2020,2020,15.6,13.9,17.5,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,MEN02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,depression,Depression among adults,2021,2021,19.9,18.2,21.6,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,MEN02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,depression,Depression among adults,2022,2022,20.4,19.0,21.9,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,MEN02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,depression,Depression among adults,2023,2023,19.8,18.3,21.3,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,MEN02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,diabetes,Diabetes among adults,2019,2019,7.2,6.1,8.5,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,DIA01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,diabetes,Diabetes among adults,2020,2020,7.4,6.4,8.6,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,DIA01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,diabetes,Diabetes among adults,2021,2021,8.1,7.2,9.2,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,DIA01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,diabetes,Diabetes among adults,2022,2022,8.5,7.6,9.4,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,DIA01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,diabetes,Diabetes among adults,2023,2023,8.2,7.4,9.2,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,DIA01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,hypertension,High blood pressure among adults,2019,2019,32.8,30.4,35.3,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,CVD01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,hypertension,High blood pressure among adults,2021,2021,29.9,28.3,31.6,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,CVD01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,hypertension,High blood pressure among adults,2023,2023,32.6,31.1,34.2,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,CVD01,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,obesity,Obesity among adults,2019,2019,30.7,28.0,33.6,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,NPW14,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,obesity,Obesity among adults,2020,2020,31.8,29.4,34.4,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,NPW14,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,obesity,Obesity among adults,2021,2021,33.4,31.5,35.5,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,NPW14,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,obesity,Obesity among adults,2022,2022,32.3,30.6,34.2,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,NPW14,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AK,Alaska,Far West,64.84507995700051,-147.722059,obesity,Obesity among adults,2023,2023,35.3,33.4,37.2,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,NPW14,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
USA,AL,Alabama,Southeast,32.84057112200048,-86.63186076,asthma,Current asthma among adults,2019,2019,10.3,9.2,11.4,% age-adjusted prevalence,Adults aged 18+,BRFSS age-adjusted prevalence,AST02,CDC Chronic Disease Indicators,https://data.cdc.gov/d/hksd-2xuw
