country,area_code,area_name,macro_region,year,period,spending_per_capita,currency,measure_type,source_name,source_url
USA,AK,Alaska,Far West,1991,1991,2553.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,1992,1992,2634.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,1993,1993,2755.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,1994,1994,2992.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,1995,1995,3085.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,1996,1996,3386.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,1997,1997,3621.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,1998,1998,3811.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,1999,1999,4076.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2000,2000,4559.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2001,2001,5163.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2002,2002,5671.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2003,2003,6100.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2004,2004,6445.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2005,2005,7081.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2006,2006,7423.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2007,2007,7923.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2008,2008,8314.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2009,2009,8550.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2010,2010,8927.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
USA,AK,Alaska,Far West,2011,2011,9343.0,USD,All-payer personal health care expenditure per capita,CMS State Health Expenditure Accounts,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/state-residence
