month,area_code,area_name,medication_class,items_per_1000,cost_per_1000
2025-01-01,E09000007,Camden,NSAID,85.65,324.04
2025-01-01,E09000007,Camden,Antihypertensive,135.34,255.02
2025-01-01,E09000007,Camden,Lipid-lowering,108.74,284.07
2025-01-01,E09000007,Camden,Antidiabetic,76.32,261.9
2025-02-01,E09000007,Camden,NSAID,105.96,299.88
2025-02-01,E09000007,Camden,Antihypertensive,136.33,431.31
2025-02-01,E09000007,Camden,Lipid-lowering,112.0,446.08
2025-02-01,E09000007,Camden,Antidiabetic,73.0,275.51
2025-03-01,E09000007,Camden,NSAID,94.51,416.98
2025-03-01,E09000007,Camden,Antihypertensive,143.02,548.5
2025-03-01,E09000007,Camden,Lipid-lowering,117.71,341.38
2025-03-01,E09000007,Camden,Antidiabetic,76.81,150.76
2025-04-01,E09000007,Camden,NSAID,101.08,377.47
2025-04-01,E09000007,Camden,Antihypertensive,139.5,345.61
2025-04-01,E09000007,Camden,Lipid-lowering,113.01,328.72
2025-04-01,E09000007,Camden,Antidiabetic,81.25,153.54
2025-05-01,E09000007,Camden,NSAID,88.88,193.83
2025-05-01,E09000007,Camden,Antihypertensive,142.1,399.52
2025-05-01,E09000007,Camden,Lipid-lowering,118.51,473.68
2025-05-01,E09000007,Camden,Antidiabetic,72.5,193.03
2025-06-01,E09000007,Camden,NSAID,91.78,325.59
2025-06-01,E09000007,Camden,Antihypertensive,132.57,278.35
2025-06-01,E09000007,Camden,Lipid-lowering,109.72,423.62
2025-06-01,E09000007,Camden,Antidiabetic,71.92,260.02
2025-07-01,E09000007,Camden,NSAID,83.5,240.21
2025-07-01,E09000007,Camden,Antihypertensive,119.98,230.28
2025-07-01,E09000007,Camden,Lipid-lowering,114.25,400.48
2025-07-01,E09000007,Camden,Antidiabetic,70.9,226.59
2025-08-01,E09000007,Camden,NSAID,80.09,272.64
2025-08-01,E09000007,Camden,Antihypertensive,123.76,393.26
2025-08-01,E09000007,Camden,Lipid-lowering,105.34,167.75
2025-08-01,E09000007,Camden,Antidiabetic,58.42,125.23
2025-09-01,E09000007,Camden,NSAID,79.89,324.35
2025-09-01,E09000007,Camden,Antihypertensive,109.97,184.18
2025-09-01,E09000007,Camden,Lipid-lowering,101.81,242.38
2025-09-01,E09000007,Camden,Antidiabetic,65.58,207.97
2025-10-01,E09000007,Camden,NSAID,83.54,291.81
2025-10-01,E09000007,Camden,Antihypertensive,117.49,463.15
2025-10-01,E09000007,Camden,Lipid-lowering,95.16,149.22
2025-10-01,E09000007,Camden,Antidiabetic,58.98,216.29
2025-11-01,E09000007,Camden,NSAID,89.15,176.85
2025-11-01,E09000007,Camden,Antihypertensive,124.54,243.71
2025-11-01,E09000007,Camden,Lipid-lowering,106.91,303.47
2025-11-01,E09000007,Camden,Antidiabetic,63.44,152.53
2025-12-01,E09000007,Camden,NSAID,89.69,231.89
2025-12-01,E09000007,Camden,Antihypertensive,120.87,224.1
2025-12-01,E09000007,Camden,Lipid-lowering,102.27,432.16
2025-12-01,E09000007,Camden,Antidiabetic,61.16,140.53
2025-01-01,E09000012,Hackney,NSAID,96.14,404.56
2025-01-01,E09000012,Hackney,Antihypertensive,157.71,332.31
2025-01-01,E09000012,Hackney,Lipid-lowering,129.36,418.81
2025-01-01,E09000012,Hackney,Antidiabetic,75.64,307.85
2025-02-01,E09000012,Hackney,NSAID,106.88,391.02
2025-02-01,E09000012,Hackney,Antihypertensive,158.75,536.89
2025-02-01,E09000012,Hackney,Lipid-lowering,141.93,489.6
2025-02-01,E09000012,Hackney,Antidiabetic,75.42,207.2
2025-03-01,E09000012,Hackney,NSAID,109.23,325.72
2025-03-01,E09000012,Hackney,Antihypertensive,164.91,318.86
2025-03-01,E09000012,Hackney,Lipid-lowering,142.57,465.21
2025-03-01,E09000012,Hackney,Antidiabetic,79.12,338.27
2025-04-01,E09000012,Hackney,NSAID,103.65,263.33
2025-04-01,E09000012,Hackney,Antihypertensive,161.57,253.41
2025-04-01,E09000012,Hackney,Lipid-lowering,120.42,354.87
2025-04-01,E09000012,Hackney,Antidiabetic,84.78,148.21
2025-05-01,E09000012,Hackney,NSAID,116.77,347.06
2025-05-01,E09000012,Hackney,Antihypertensive,154.73,497.49
2025-05-01,E09000012,Hackney,Lipid-lowering,111.39,256.3
2025-05-01,E09000012,Hackney,Antidiabetic,74.11,226.92
2025-06-01,E09000012,Hackney,NSAID,93.62,146.49
